,Survived_0,Survived_1,Surviveds_0,Surviveds_1,Survivedt_0,Survivedt_1,Survivedg_0,Survivedg_1
0,1,0,0,1,1,0,0,1
1,1,0,1,0,1,0,1,0
2,1,0,1,0,1,0,1,0
3,1,0,1,0,1,0,1,0
4,1,0,0,1,1,0,0,1
5,1,0,1,0,1,0,1,0
6,1,0,1,0,1,0,1,0
7,1,0,1,0,1,0,1,0
8,0,1,0,1,0,1,0,1
9,1,0,1,0,1,0,1,0
10,1,0,1,0,1,0,1,0
11,1,0,1,0,1,0,1,0
12,1,0,1,0,1,0,1,0
13,1,0,1,0,1,0,1,0
14,0,1,0,1,0,1,0,1
15,1,0,1,0,1,0,1,0
16,1,0,1,0,1,0,1,0
17,0,1,0,1,0,1,0,1
18,0,1,0,1,1,0,0,1
19,1,0,1,0,1,0,1,0
20,1,0,1,0,1,0,1,0
21,1,0,1,0,1,0,1,0
22,0,1,0,1,1,0,0,1
23,1,0,1,0,1,0,1,0
24,1,0,1,0,1,0,1,0
25,1,0,0,1,1,0,0,1
26,1,0,1,0,1,0,1,0
27,1,0,1,0,1,0,1,0
28,1,0,1,0,1,0,1,0
29,0,1,0,1,0,1,0,1
30,1,0,1,0,1,0,1,0
31,1,0,1,0,1,0,1,0
32,0,1,0,1,1,0,0,1
33,0,1,0,1,0,1,0,1
34,1,0,0,1,0,1,0,1
35,1,0,1,0,1,0,1,0
36,0,1,0,1,0,1,0,1
37,1,0,1,0,1,0,1,0
38,1,0,1,0,1,0,1,0
39,0,1,0,1,1,0,0,1
40,1,0,0,1,1,0,0,1
41,1,0,1,0,1,0,1,0
42,0,1,0,1,0,1,0,1
43,1,0,1,0,1,0,1,0
44,1,0,1,0,1,0,1,0
45,1,0,1,0,1,0,1,0
46,1,0,1,0,1,0,1,0
47,1,0,1,0,1,0,1,0
48,1,0,1,0,1,0,1,0
49,1,0,1,0,1,0,1,0
50,0,1,1,0,1,0,0,1
51,1,0,1,0,1,0,1,0
52,1,0,1,0,1,0,1,0
53,0,1,0,1,0,1,0,1
54,1,0,1,0,1,0,1,0
55,1,0,1,0,1,0,1,0
56,0,1,0,1,1,0,0,1
57,0,1,0,1,0,1,0,1
58,1,0,1,0,1,0,1,0
59,0,1,0,1,1,0,0,1
60,0,1,0,1,0,1,0,1
61,0,1,0,1,1,0,0,1
62,0,1,0,1,0,1,0,1
63,1,0,1,0,1,0,1,0
64,0,1,0,1,0,1,0,1
65,0,1,0,1,0,1,0,1
66,0,1,0,1,0,1,0,1
67,1,0,1,0,1,0,1,0
68,1,0,1,0,1,0,1,0
69,1,0,1,0,1,0,1,0
70,1,0,1,0,1,0,1,0
71,1,0,1,0,1,0,1,0
72,1,0,1,0,1,0,1,0
73,0,1,0,1,1,0,0,1
74,1,0,1,0,1,0,1,0
75,1,0,1,0,1,0,1,0
76,1,0,1,0,1,0,1,0
77,1,0,1,0,1,0,1,0
78,0,1,0,1,0,1,0,1
79,0,1,0,1,1,0,0,1
80,1,0,1,0,1,0,1,0
81,1,0,1,0,1,0,1,0
82,1,0,1,0,1,0,1,0
83,1,0,1,0,1,0,1,0
84,1,0,1,0,1,0,1,0
85,1,0,1,0,1,0,1,0
86,1,0,1,0,1,0,1,0
87,0,1,0,1,0,1,0,1
88,0,1,0,1,0,1,0,1
89,1,0,1,0,1,0,1,0
90,1,0,1,0,1,0,1,0
91,0,1,0,1,0,1,0,1
92,0,1,0,1,1,0,0,1
93,1,0,1,0,1,0,1,0
94,0,1,0,1,0,1,0,1
95,1,0,1,0,1,0,1,0
96,1,0,1,0,1,0,1,0
97,1,0,1,0,1,0,1,0
98,0,1,0,1,0,1,0,1
99,1,0,1,0,1,0,1,0
100,1,0,1,0,1,0,1,0
101,1,0,1,0,1,0,1,0
102,1,0,1,0,1,0,1,0
103,0,1,0,1,0,1,0,1
104,1,0,1,0,1,0,1,0
105,1,0,1,0,1,0,1,0
106,0,1,0,1,0,1,0,1
107,0,1,0,1,0,1,0,1
108,1,0,1,0,1,0,1,0
109,0,1,0,1,0,1,0,1
110,1,0,1,0,1,0,1,0
111,1,0,0,1,0,1,0,1
112,1,0,1,0,1,0,1,0
113,0,1,0,1,1,0,0,1
114,0,1,0,1,0,1,0,1
115,1,0,1,0,1,0,1,0
116,0,1,0,1,0,1,0,1
117,1,0,1,0,1,0,1,0
118,1,0,1,0,1,0,1,0
119,0,1,0,1,0,1,0,1
120,1,0,1,0,1,0,1,0
121,1,0,1,0,1,0,1,0
122,0,1,0,1,0,1,0,1
123,1,0,1,0,1,0,1,0
124,0,1,0,1,0,1,0,1
125,1,0,1,0,1,0,1,0
126,1,0,1,0,1,0,1,0
127,1,0,1,0,1,0,1,0
128,1,0,0,1,0,1,0,1
129,1,0,1,0,1,0,1,0
130,1,0,1,0,1,0,1,0
131,0,1,0,1,0,1,0,1
132,1,0,0,1,1,0,0,1
133,1,0,1,0,1,0,1,0
134,1,0,1,0,1,0,1,0
135,0,1,0,1,0,1,0,1
136,0,1,0,1,0,1,0,1
137,1,0,1,0,1,0,1,0
138,0,1,0,1,1,0,0,1
139,1,0,0,1,1,0,0,1
140,1,0,1,0,1,0,1,0
141,1,0,1,0,1,0,1,0
142,1,0,0,1,0,1,0,1
143,1,0,1,0,1,0,1,0
144,1,0,1,0,1,0,1,0
145,1,0,1,0,1,0,1,0
146,1,0,1,0,1,0,1,0
147,1,0,1,0,1,0,1,0
148,0,1,0,1,0,1,0,1
149,1,0,1,0,1,0,1,0
150,1,0,1,0,1,0,1,0
151,1,0,1,0,1,0,1,0
152,1,0,1,0,1,0,1,0
153,1,0,1,0,1,0,1,0
154,0,1,0,1,0,1,0,1
155,1,0,1,0,1,0,1,0
156,1,0,1,0,1,0,1,0
157,0,1,0,1,1,0,0,1
158,0,1,0,1,0,1,0,1
159,1,0,1,0,1,0,1,0
160,0,1,1,0,1,0,1,0
161,1,0,1,0,1,0,1,0
162,0,1,0,1,1,0,0,1
163,1,0,1,0,1,0,1,0
164,1,0,1,0,1,0,1,0
165,1,0,1,0,1,0,1,0
166,0,1,0,1,0,1,0,1
167,0,1,0,1,0,1,0,1
168,1,0,1,0,1,0,1,0
169,1,0,1,0,1,0,1,0
170,1,0,1,0,1,0,1,0
171,1,0,1,0,1,0,1,0
172,0,1,0,1,0,1,0,1
173,0,1,0,1,0,1,0,1
174,0,1,0,1,1,0,0,1
175,0,1,0,1,0,1,0,1
176,1,0,1,0,1,0,1,0
177,0,1,0,1,0,1,0,1
178,0,1,0,1,0,1,0,1
